name_x,address_x,number,distancia,name_y,address_y,activate,no_available,total_bases,dock_bikes,free_bases,longitude,latitude
Méndez Álvaro,"Calle Méndez Álvaro nº 11,",119,228,Méndez Álvaro,"Calle Méndez Álvaro nº 11,",1,0,23,22,1,-3.6862653,40.4012905
Méndez Álvaro,"Calle Méndez Álvaro nº 11,",118,228,"OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",1,0,23,15,8,-3.6882407,40.400781
Metro Palos de la Frontera,"Calle Palos de la Frontera nº 27,",120,206,Metro Palos de la Frontera,"Calle Palos de la Frontera nº 27,",1,0,27,11,16,-3.6948251018524214,40.403090451430614
Metro Palos de la Frontera,"Calle Palos de la Frontera nº 27,",168,206,Santa María Cabeza,"Paseo Santa María de la Cabeza frente al 30 ,",1,0,23,18,5,-3.6959,40.4046
Glorieta de Santa María de la Cabeza,"Paseo de Santa María de la Cabeza nº 58,",121,229,Glorieta de Santa María de la Cabeza,"Paseo de Santa María de la Cabeza nº 58,",1,0,27,15,12,-3.6986027,40.4017487
Glorieta de Santa María de la Cabeza,"Paseo de Santa María de la Cabeza nº 58,",171,229,Embajadores,"Calle Embajadores nº 97,",1,0,27,24,3,-3.6984023,40.3997013
Santa Engracia,"Calle Santa Engracia nº 14,",122,212,Santa Engracia,"Calle Santa Engracia nº 14,",1,0,23,5,18,-3.6963659,40.4295362
Santa Engracia,"Calle Santa Engracia nº 14,",8,212,Metro Alonso Martínez,"Plaza de Alonso Martínez nº 6,",1,0,24,14,10,-3.6954403,40.4278682
Metro Argüelles,"Calle Guzmán el Bueno nº 2,",123,144,Metro Argüelles,"Calle Guzmán el Bueno nº 2,",1,0,27,9,18,-3.7133412,40.4306458
Metro Argüelles,"Calle Guzmán el Bueno nº 2,",57,144,Santa Cruz de Marcenado,"Calle Santa Cruz del Marcenado nº 26,",1,0,23,15,8,-3.7126299,40.4295658
Fdez. de la Hoz,"Calle Fernández de la Hoz nº 29,",125,408,Fdez. de la Hoz,"Calle Fernández de la Hoz nº 29,",1,0,27,25,2,-3.6948,40.4353
Fdez. de la Hoz,"Calle Fernández de la Hoz nº 29,",247,408,Zurbano,"Calle de Zurbano, 90 ,",1,0,23,8,15,-3.69281,40.43837
