title,street-address,latitude,longitude,number,type_of_place,distance
Embajada de Qatar,PASEO CASTELLANA 15 PLANTA 5,40.42811394313855,-3.690189203244315,105,embajada,316.82685104839993
Embajada de Reino Unido de Gran Bretaña e Irlanda del Norte,PASEO CASTELLANA 259 D Torre Espacio,40.47592404926307,-3.6872691224974417,248,embajada,196.07823393572255
Embajada de Reino Unido de Gran Bretaña e Irlanda del Norte,PASEO CASTELLANA 259 D Torre Espacio,40.47592404926307,-3.6872691224974417,249,embajada,453.8318337974496
Embajada de Reino Unido de Gran Bretaña e Irlanda del Norte,PASEO CASTELLANA 259 D Torre Espacio,40.47592404926307,-3.6872691224974417,217,embajada,587.7706789234139
Embajada de República Checa,AVENIDA COMANDANTE FRANCO 34,40.46594286739446,-3.672409949254646,288,embajada,52.34488865615024
Embajada de República Checa,AVENIDA COMANDANTE FRANCO 34,40.46594286739446,-3.672409949254646,285,embajada,375.38444079904934
Embajada de República Checa,AVENIDA COMANDANTE FRANCO 34,40.46594286739446,-3.672409949254646,286,embajada,650.0083836945408
Embajada de República Dominicana,PASEO CASTELLANA 30 PLANTA 1 DERECHA,40.43157571673001,-3.6882911089925896,198,embajada,101.84610467547655
Embajada de República Dominicana,PASEO CASTELLANA 30 PLANTA 1 DERECHA,40.43157571673001,-3.6882911089925896,103,embajada,208.17076704427637
Embajada de República Dominicana,PASEO CASTELLANA 30 PLANTA 1 DERECHA,40.43157571673001,-3.6882911089925896,142,embajada,208.30644391499814
Embajada de Rumanía,AVENIDA ALFONSO XIII 157,40.46019291202317,-3.6783690131760567,254,embajada,220.89103279391713
Embajada de Rumanía,AVENIDA ALFONSO XIII 157,40.46019291202317,-3.6783690131760567,160,embajada,398.2497080740416
Embajada de Rumanía,AVENIDA ALFONSO XIII 157,40.46019291202317,-3.6783690131760567,290,embajada,497.9321004320408
Embajada de Rusia,CALLE VELAZQUEZ 155,40.444751383993676,-3.6829776549736115,137,embajada,274.4372245245777
Embajada de Rusia,CALLE VELAZQUEZ 155,40.444751383993676,-3.6829776549736115,146,embajada,463.76518685785993
Embajada de Rusia,CALLE VELAZQUEZ 155,40.444751383993676,-3.6829776549736115,250,embajada,555.2812304714649
Embajada de San Marino,CALLE PADRE JESUS ORDO&amp;Ntilde;EZ 18 PLANTA 3 IZQUIERDA,40.44145820584704,-3.6776854132094505,146,embajada,337.2568643151256
Embajada de San Marino,CALLE PADRE JESUS ORDO&amp;Ntilde;EZ 18 PLANTA 3 IZQUIERDA,40.44145820584704,-3.6776854132094505,195,embajada,352.77211934165587
Embajada de San Marino,CALLE PADRE JESUS ORDO&amp;Ntilde;EZ 18 PLANTA 3 IZQUIERDA,40.44145820584704,-3.6776854132094505,196,embajada,412.66971900923716
Embajada de Santa Sede,AVENIDA PIO XII 46,40.4686277265949,-3.673334399530984,288,embajada,273.51896553735
Embajada de Santa Sede,AVENIDA PIO XII 46,40.4686277265949,-3.673334399530984,286,embajada,515.6906441041584
Embajada de Santa Sede,AVENIDA PIO XII 46,40.4686277265949,-3.673334399530984,284,embajada,616.9717178758311
Embajada de Senegal,CALLE MORALZARZAL 18,40.4893449888833,-3.704826324433652,605,embajada,256.0028273696254
Embajada de Senegal,CALLE MORALZARZAL 18,40.4893449888833,-3.704826324433652,580,embajada,704.3571971001496
Embajada de Senegal,CALLE MORALZARZAL 18,40.4893449888833,-3.704826324433652,606,embajada,740.9981553420707
Embajada de Serbia,CALLE VELAZQUEZ 3,40.42148926032306,-3.6846401694200934,102,embajada,56.80763250489319
Embajada de Serbia,CALLE VELAZQUEZ 3,40.42148926032306,-3.6846401694200934,96,embajada,277.9016033102922
Embajada de Serbia,CALLE VELAZQUEZ 3,40.42148926032306,-3.6846401694200934,95,embajada,280.997593676709
Embajada de Siria,PLAZA PLATERIA DE MARTINEZ 1 PLANTA 1,40.4125341323426,-3.6937308712796155,67,embajada,196.0839304424201
Embajada de Siria,PLAZA PLATERIA DE MARTINEZ 1 PLANTA 1,40.4125341323426,-3.6937308712796155,27,embajada,235.62393938099032
Embajada de Siria,PLAZA PLATERIA DE MARTINEZ 1 PLANTA 1,40.4125341323426,-3.6937308712796155,68,embajada,269.8500479303248
Embajada de Sudáfrica,CALLE CLAUDIO COELLO 91 PLANTA 6 y 7,40.43068902185026,-3.6859006104054375,103,embajada,95.73130001630858
Embajada de Sudáfrica,CALLE CLAUDIO COELLO 91 PLANTA 6 y 7,40.43068902185026,-3.6859006104054375,88,embajada,242.63970301224336
Embajada de Sudáfrica,CALLE CLAUDIO COELLO 91 PLANTA 6 y 7,40.43068902185026,-3.6859006104054375,142,embajada,377.05740087419997
Embajada de Sudán,AVENIDA MIRAFLORES 63,40.47203025842744,-3.733123924003301,599,embajada,1552.9569964657842
Embajada de Sudán,AVENIDA MIRAFLORES 63,40.47203025842744,-3.733123924003301,317,embajada,1606.8705466674758
Embajada de Sudán,AVENIDA MIRAFLORES 63,40.47203025842744,-3.733123924003301,316,embajada,1697.2328004393023
Embajada de Suecia,CALLE CARACAS 25,40.43071473630789,-3.6936700862940017,122,embajada,328.09365695112314
Embajada de Suecia,CALLE CARACAS 25,40.43071473630789,-3.6936700862940017,8,embajada,373.36848123822165
Embajada de Suecia,CALLE CARACAS 25,40.43071473630789,-3.6936700862940017,125,embajada,525.7612645043936
Embajada de Suiza,CALLE NU&amp;Ntilde;EZ DE BALBOA 35 A PLANTA 7,40.42545465763344,-3.682876737414012,90,embajada,112.87056280499782
Embajada de Suiza,CALLE NU&amp;Ntilde;EZ DE BALBOA 35 A PLANTA 7,40.42545465763344,-3.682876737414012,87,embajada,257.4686858991023
Embajada de Suiza,CALLE NU&amp;Ntilde;EZ DE BALBOA 35 A PLANTA 7,40.42545465763344,-3.682876737414012,96,embajada,390.1513960370187
Embajada de Tailandia,CALLE JOAQUIN COSTA 29,40.44603023889291,-3.686091916414186,137,embajada,106.22436788876175
Embajada de Tailandia,CALLE JOAQUIN COSTA 29,40.44603023889291,-3.686091916414186,149,embajada,472.2325064891861
Embajada de Tailandia,CALLE JOAQUIN COSTA 29,40.44603023889291,-3.686091916414186,136,embajada,531.3865980115842
Embajada de Turquía,CALLE RAFAEL CALVO 18 PLANTA 2 A/B,40.43387373574068,-3.6941977264344406,125,embajada,172.40063434707065
Embajada de Turquía,CALLE RAFAEL CALVO 18 PLANTA 2 A/B,40.43387373574068,-3.6941977264344406,247,embajada,523.9140628883374
Embajada de Turquía,CALLE RAFAEL CALVO 18 PLANTA 2 A/B,40.43387373574068,-3.6941977264344406,122,embajada,540.0406853334919
Embajada de Túnez,AVENIDA ALFONSO XIII 64 66 y 68,40.454007125972694,-3.6669496805547963,291,embajada,529.346547676602
Embajada de Túnez,AVENIDA ALFONSO XIII 64 66 y 68,40.454007125972694,-3.6669496805547963,476,embajada,553.3079277341396
Embajada de Túnez,AVENIDA ALFONSO XIII 64 66 y 68,40.454007125972694,-3.6669496805547963,289,embajada,767.6037040309704
Embajada de Ucrania,RONDA ABUBILLA 52,40.455238430865464,-3.6371237934421803,526,embajada,853.2709649857395
Embajada de Ucrania,RONDA ABUBILLA 52,40.455238430865464,-3.6371237934421803,535,embajada,957.809377981324
Embajada de Ucrania,RONDA ABUBILLA 52,40.455238430865464,-3.6371237934421803,516,embajada,1051.7423109750707
Embajada de Uruguay,PASEO PINTOR ROSALES 28 PLANTA 1 Izquierda,40.42680087237986,-3.7193764162400194,113,embajada,171.49151159292558
Embajada de Uruguay,PASEO PINTOR ROSALES 28 PLANTA 1 Izquierda,40.42680087237986,-3.7193764162400194,114,embajada,242.65778247288085
Embajada de Uruguay,PASEO PINTOR ROSALES 28 PLANTA 1 Izquierda,40.42680087237986,-3.7193764162400194,115,embajada,307.62355743878385
Embajada de Uzbekistan,PLAZA LEALTAD 3 PLANTA ENTREPLANTA DERECHA,40.41599086503211,-3.6921175196225273,283,embajada,90.27310104920309
Embajada de Uzbekistan,PLAZA LEALTAD 3 PLANTA ENTREPLANTA DERECHA,40.41599086503211,-3.6921175196225273,65,embajada,310.6162239261536
Embajada de Uzbekistan,PLAZA LEALTAD 3 PLANTA ENTREPLANTA DERECHA,40.41599086503211,-3.6921175196225273,86,embajada,326.53539397721823
Embajada de Venezuela,CALLE POETA JOAN MARAGALL 1 PLANTA 13,40.453273030213545,-3.6928454510581132,153,embajada,137.17633349456935
Embajada de Venezuela,CALLE POETA JOAN MARAGALL 1 PLANTA 13,40.453273030213545,-3.6928454510581132,154,embajada,264.40527882824455
Embajada de Venezuela,CALLE POETA JOAN MARAGALL 1 PLANTA 13,40.453273030213545,-3.6928454510581132,238,embajada,327.1827026195346
Embajada de Vietnam,AVENIDA ALFONSO XIII 54,40.452933755417405,-3.6671749335999184,476,embajada,578.8241300929099
Embajada de Vietnam,AVENIDA ALFONSO XIII 54,40.452933755417405,-3.6671749335999184,291,embajada,643.1874016011069
Embajada de Vietnam,AVENIDA ALFONSO XIII 54,40.452933755417405,-3.6671749335999184,289,embajada,663.4340241563735
Embajada de Yemen,PASEO CASTELLANA 117 PLANTA 8 D,40.457056423282566,-3.6907683475311566,156,embajada,257.091611175111
Embajada de Yemen,PASEO CASTELLANA 117 PLANTA 8 D,40.457056423282566,-3.6907683475311566,157,embajada,276.42292998710707
Embajada de Yemen,PASEO CASTELLANA 117 PLANTA 8 D,40.457056423282566,-3.6907683475311566,238,embajada,294.595829034543
Embajada de la República Democrática del Congo,CALLE DOCTOR FLEMING 45 PLANTA 1 F,40.46267526644442,-3.687880936282099,255,embajada,306.97030506392844
